time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-13 00:00:00+00:00,9,5,3,1
2026-01-14 00:00:00+00:00,8,4,4,3
2026-01-15 00:00:00+00:00,13,5,8,2
2026-01-16 00:00:00+00:00,7,7,3,2
2026-01-17 00:00:00+00:00,20,7,3,1
2026-01-18 00:00:00+00:00,7,7,3,2
2026-01-19 00:00:00+00:00,11,6,4,3
2026-01-20 00:00:00+00:00,20,9,8,4
2026-01-21 00:00:00+00:00,15,8,49,6
2026-01-22 00:00:00+00:00,4,4,7,3
2026-01-23 00:00:00+00:00,14,9,9,7
2026-01-24 00:00:00+00:00,52,23,225,56
2026-01-25 00:00:00+00:00,18,12,165,26
2026-01-26 00:00:00+00:00,21,10,33,12
