time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-11 00:00:00+00:00,11,6,26,7
2025-12-12 00:00:00+00:00,5,5,63,8
2025-12-13 00:00:00+00:00,4,4,3,3
2025-12-14 00:00:00+00:00,9,5,2,1
2025-12-15 00:00:00+00:00,10,6,5,3
2025-12-16 00:00:00+00:00,4,4,2,2
2025-12-17 00:00:00+00:00,5,5,1,1
2025-12-18 00:00:00+00:00,9,5,13,5
2025-12-19 00:00:00+00:00,6,6,6,4
2025-12-20 00:00:00+00:00,8,4,11,3
2025-12-21 00:00:00+00:00,11,7,5,4
2025-12-22 00:00:00+00:00,24,13,17,7
2025-12-23 00:00:00+00:00,8,8,6,2
2025-12-24 00:00:00+00:00,7,2,13,2
