time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-14 00:00:00+00:00,13,8,23,6
2026-02-15 00:00:00+00:00,17,10,24,3
2026-02-16 00:00:00+00:00,25,15,6,3
2026-02-17 00:00:00+00:00,22,9,66,8
2026-02-18 00:00:00+00:00,8,8,11,3
2026-02-19 00:00:00+00:00,10,8,23,5
2026-02-20 00:00:00+00:00,14,9,9,4
2026-02-21 00:00:00+00:00,10,9,1,1
2026-02-22 00:00:00+00:00,23,13,1,1
2026-02-23 00:00:00+00:00,7,6,2,2
2026-02-24 00:00:00+00:00,15,7,5,3
2026-02-25 00:00:00+00:00,19,12,1,1
2026-02-26 00:00:00+00:00,20,9,3,3
2026-02-27 00:00:00+00:00,11,6,4,2
