url_path,views_total,views_unique
/shalenMathew/Quotes-app,52,34
/shalenMathew/Quotes-app/tree/master/app,9,8
/shalenMathew/Quotes-app/tree/master/app/src/main,8,7
/shalenMathew/Quotes-app/issues,7,6
/shalenMathew/Quotes-app/tree/master/app/src,7,6
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp,6,6
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp/presentation,5,3
/shalenMathew/Quotes-app/issues/44,5,2
/shalenMathew/Quotes-app/releases,4,4
/shalenMathew/Quotes-app/releases/tag/v2.5,4,3
