time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-31 00:00:00+00:00,27,14,20,3
2026-06-01 00:00:00+00:00,21,11,8,2
2026-06-02 00:00:00+00:00,32,19,22,3
2026-06-03 00:00:00+00:00,77,20,1,1
2026-06-04 00:00:00+00:00,10,6,3,3
2026-06-05 00:00:00+00:00,11,6,8,5
2026-06-06 00:00:00+00:00,23,10,20,3
2026-06-07 00:00:00+00:00,156,56,1,1
2026-06-08 00:00:00+00:00,102,46,11,6
2026-06-09 00:00:00+00:00,22,10,14,3
2026-06-10 00:00:00+00:00,114,22,7,3
2026-06-11 00:00:00+00:00,30,17,3,1
2026-06-12 00:00:00+00:00,19,8,24,3
2026-06-13 00:00:00+00:00,29,11,1,1
