url_path,views_total,views_unique
/shalenMathew/Quotes-app,51,31
/shalenMathew/Quotes-app/releases,6,4
/shalenMathew/Quotes-app/tree/master/app,4,4
/shalenMathew/Quotes-app/releases/tag/v3.1,4,3
/shalenMathew/Quotes-app/tree/master,3,3
/shalenMathew/Quotes-app/tree/master/app/src,3,2
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp/data,3,1
/shalenMathew/Quotes-app/tree/master/app/src/main,2,2
/shalenMathew/Quotes-app/blob/master/app/src/main/java/com/shalenmathew/quotesapp/data/local/DefaultQuoteStylePreferencesImpl.kt,1,1
/shalenMathew/Quotes-app/blob/master/app/src/main/java/com/shalenmathew/quotesapp/data/local/QuoteDao.kt,1,1
