time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-25 00:00:00+00:00,11,5,6,4
2025-12-26 00:00:00+00:00,15,9,7,3
2025-12-27 00:00:00+00:00,10,4,3,3
2025-12-28 00:00:00+00:00,16,6,16,5
2025-12-29 00:00:00+00:00,9,9,1,1
2025-12-30 00:00:00+00:00,11,5,6,1
2025-12-31 00:00:00+00:00,35,27,15,4
2026-01-01 00:00:00+00:00,7,7,12,7
2026-01-02 00:00:00+00:00,16,12,5,4
2026-01-03 00:00:00+00:00,11,7,8,3
2026-01-04 00:00:00+00:00,17,9,10,9
2026-01-05 00:00:00+00:00,6,6,13,6
2026-01-06 00:00:00+00:00,38,28,27,8
2026-01-07 00:00:00+00:00,19,9,7,4
